track_name,artist_name,artist_id,track_id,popularity,duration_ms,duration_min,time_range,album,release_date,explicit
Good Girl,Vanessa Marquez,1sHeeklNkT43hN0gcuunOB,0eQcmmibxiv1Upo5m9Yis2,4,250280,4.17,Last 4 weeks,The Neptunes Present... Clones,2003-08-18,False
Never Let Go,Mandal & Forbes,2IsGmtnhtOaU6EZeRwfxJv,0hLxnAZRbheWrmnALF4Khw,13,205462,3.42,Last 4 weeks,Never Let Go,2014-10-17,False
Hard Times,Paramore,74XFHRwlV6OrjEM0A2NCMF,0w5Bdu51Ka25Pf3hojsKHh,79,182693,3.04,Last 4 weeks,After Laughter,2017-05-12,False
Time After Time,Babert,2WyIaamOi8lW7R7nhGMDoe,1BuIHCfhCYRloFTmvmPYop,51,230283,3.84,Last 4 weeks,Time After Time,2019-07-05,False
Tell Me - Extended Mix,chriz javey,4n545NeyanWohXT6Ku1Br8,246mcYdjzsVy37H69H8KlV,5,189090,3.15,Last 4 weeks,Tell Me,2024-11-29,False
So Mi So,Wande Coal,1fYVmAFB7sC7eDoF3mJXla,2KG2MggKHSVTKR8nLJX8DV,55,245182,4.09,Last 4 weeks,So Mi So,2018-05-07,False
Take Me To The River,Kelvin Momo,4VlxI0WKDh7HFgHjXcfj6v,2SRFbIZWNY8aTaXS9iocYw,46,450879,7.51,Last 4 weeks,Thato Ya Modimo,2025-05-30,False
Just like you,MÖRDA,0M8NOvT5MTp13jYZ0bZZQp,2UAz0hwLqFomXymVDbDwul,20,431202,7.19,Last 4 weeks,Asante III,2025-03-28,False
Wasting Time,Zac Samuel,3imlibJrwqYv8gqII7u4r0,3sIxH6PbrndAo9idzqpbt9,36,146580,2.44,Last 4 weeks,Wasting Time,2021-10-08,False
Am I Just Living,SHEE,1jrRLqDsOOKIagQXYPq2Iv,43AFjjpou0fSv1IVayDrIe,35,360970,6.02,Last 4 weeks,Champagne & Guinness (Album Sampler),2018-10-22,False
Rally House,prod. DTM,661DKnfZy9RMb8FcbUZboE,4CLh2FZhGbH7EouNDJQvjx,64,96396,1.61,Last 4 weeks,Rally House,2024-01-23,False
Your Beauty Is a Spoiler,Rhode & Brown,3tA0d4G3jC6CXf6MXEZE5T,4uxpCsfPdWD4IFVQ06vQ0d,15,398809,6.65,Last 4 weeks,Nine to Shine,2019-09-27,False
Don't Give Up (On Love) - Radio Edit,Blinkie,0nJcDqY6ox4kHB92AuRA8j,510dajaNLOHBE2F8ozAdzn,45,187320,3.12,Last 4 weeks,Don't Give Up (On Love) [Radio Edit],2015-09-04,False
Adieu,Tchami,1KpCi9BOfviCVhmpI4G2sY,53Us5C3wTQ2zi6ODWhmHMN,55,413333,6.89,Last 4 weeks,Adieu,2017-02-03,False
Closer (feat. Lilly Ahlberg),Sonny Fodera,39B7ChWwrWDs7zXlsu3MoP,5FDdviWQzhw7NWH2TiDl9d,41,169901,2.83,Last 4 weeks,Closer (feat. Lilly Ahlberg),2021-04-30,False
Step Down,DJ Nkabza,1dpV6R8TUpxsMLjkeog1j9,5UBSGuCmxR1JjxS8nW9kLj,32,343975,5.73,Last 4 weeks,Step Down,2025-09-13,False
My Love,Jethro Heston,1Qj4wPnd5DKW7TXALK7Xfj,5Vi0u7cGTcPrXk6ZOoppnp,53,156209,2.6,Last 4 weeks,My Love,2022-04-29,False
VIBES DON'T LIE,Leon Thomas,0nnBZ8FXWjG9wZgM2cpfeb,1WwrfoGe0K33z1tVI6mevJ,68,201567,3.36,Last 6 months,MUTT,2024-09-27,True
RMF,Oxlade,3WTrdbZU99dgTtt3ZkyamT,4HRjfapwFUga07NJr0Q4l6,32,178493,2.97,Last 6 months,OFA (Oxlade From Africa),2024-09-20,True
SPACE INVADER,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu,5EsKjjNxjKeDjlxqdSs4X4,59,274302,4.57,Last 6 months,AIN'T NO DAMN WAY!,2025-08-15,False
Take Me To The River,Kelvin Momo,4VlxI0WKDh7HFgHjXcfj6v,2SRFbIZWNY8aTaXS9iocYw,46,450879,7.51,Last 6 months,Thato Ya Modimo,2025-05-30,False
Bootman,Ross from Friends,1Ma3pJzPIrAyYPNRkp3SUF,3mNXKbWX8ZAL8AW97dnoLq,37,365968,6.1,Last 6 months,You'll Understand,2017-02-10,False
You're Not My Kind Of Girl,New Edition,1mFX1QlezK1lNPKQJkhwWb,202QpSJo7inyEKWeARd5Ax,48,241693,4.03,Last 6 months,Heart Break,1988-01-01,False
Santorini Coffee,melvitto,4Xj0nxVO4r7PLEaw7LRiBa,6TTR7tXftck5lU7BPRY7bV,61,134365,2.24,Last 6 months,THENIGHTISYOUNG.,2019-02-22,False
Partylife,Stefano Ritteri,6mn2bA8ndJUuJVJE8WMvbK,0YBrtkznaCyQlKXKoIWx4O,28,380487,6.34,Last 6 months,Shir Khan Presents Black Jukebox Disco Jam 01,2015-11-16,False
Abasekho,JAZZWRLD,3idyOn3lhSxgV2qdDQNfhz,4fJTDQsxaNee8nmol1OLjI,59,364156,6.07,Last 6 months,The Most Wanted,2025-09-18,False
Big Thug Boys,Babyboy AV,5p1CMGIDFgalZneW5P1EwX,64f7mZuEkeNeKOuzSjrIGm,56,171998,2.87,Last 6 months,Big Thug Boys,2021-06-04,True
If You Were Here Tonight,Alexander O'Neal,047D9GgqEzyMoULd2oKr7G,1zl5xOvzInBy7esv1UAnrc,54,370733,6.18,Last 6 months,Alexander O'Neal,1985-01-01,False
Make Me Feel Better - Don Diablo & CID Remix Radio Edit,Alex Adair,1mrrvBvbrm28iYaPlJ9mG5,3Oz1oOD6Um6ETnimVdBfil,8,202460,3.37,Last 6 months,Make Me Feel Better (Remixes),2015-04-14,False
I Want You Tonight,Roman Royce,4wVkH3oDzZ7ywS9ZB2uKMK,0P2gTRBTZzL0yoRFIFrAwo,22,150836,2.51,Last 6 months,I Want You Tonight,2024-05-23,False
Fountains (with Tems),Drake,3TVXtAsR1Inumwj472S9r4,08XWh5c0BMyD1nKVxxl91z,70,192417,3.21,Last 6 months,Certified Lover Boy,2021-09-03,True
Only for You,Just Kiddin,4bazJLWIv8CuqmgxJRiGqo,1H4qWZy8aBW90r8SWgCTKE,20,343000,5.72,Last 6 months,Only for You,2016-01-22,False
Waiting For You (feat. Naomi Sharon),Majid Jordan,4HzKw8XcD0piJmDrrPRCYk,6ARYP4KyGydosXyxtzlDdc,54,219998,3.67,Last 6 months,Good People,2023-11-03,False
Luv U Better,LL COOL J,1P8IfcNKwrkQP5xJWuhaOC,7cGcyNd7NVvDIwCAQSbJLI,54,286906,4.78,Last 6 months,10,2002-10-08,False
Holy Gee,Cheque,4oQyXxDBq8FBhsjjS7MbcM,3Y8PRiBMczgHn3edpbCkfb,42,164808,2.75,Last 6 months,Holy Gee,2022-07-20,False
OLOLUFE,Oxlade,3WTrdbZU99dgTtt3ZkyamT,1C4ndHztUaefeUlbCue2wt,56,140106,2.34,Last 6 months,OFA (Oxlade From Africa),2024-09-20,False
A House Is Not a Home,Luther Vandross,19y5MFBH7gohEdGwKM7QsP,4gFVTfg1EFuuXJguJe1Z7W,55,427693,7.13,Last 6 months,Never Too Much,1981-07-23,False
Adieu,Tchami,1KpCi9BOfviCVhmpI4G2sY,53Us5C3wTQ2zi6ODWhmHMN,55,413333,6.89,Last 6 months,Adieu,2017-02-03,False
"Abantwana Bakho (feat. Thatohatsi, Young Stunna & Nkosazana Daughter)",DJ Maphorisa,0mMqD2uqwvCjFvlzo6ayGi,62auSQwzIlyVuqUsxd4w63,69,518307,8.64,Last 6 months,NGOMOYA,2025-03-28,False
Turn Back Time,Diplo,5fMUXHkw8R8eOP2RNVYEZX,1J2OlTIPluzOmf3RX8eKhT,52,147260,2.45,Last 6 months,Turn Back Time,2020-11-20,False
Samantha,Tekno,6IhG3Yxm3UW98jhyBvrIut,2amzeTPndvlyXxWR4lnvru,39,229877,3.83,Last 6 months,Samantha,2017-06-09,False
Where Are We Going?,Marvin Gaye,3koiLjNrgRTNbOwViDipeA,7poaDTqWgJQDG5gqvobqXu,55,235680,3.93,Last 6 months,Gold,2005-01-11,False
Tell me - Groove Mix,BusyExplore,5YF1n53vCofdEurhpfZN99,5CS9KwTn3S3DltvTFtLVCE,31,353809,5.9,Last 6 months,Moments We Keep,2024-10-18,False
Her Voice,KoptjieSA,2hGNDC9wrEAgGx61akhD7z,4AohiJUaGqtQsKZgTKf6fG,30,441768,7.36,Last 6 months,Those Days,2024-01-26,False
Jolene,Victony,1E5hfn5BduN2nnoZCJmUVG,6OeHAhsVn22nStOm1XRHLQ,56,175000,2.92,Last 6 months,Outlaw,2022-05-06,False
Soh-Soh,Odeal,2BPwxhCvvcb8xDl8GWIjbh,30nn36X7wfesAGAkvGero4,61,184552,3.08,Last 6 months,Soh-Soh (DJ Maphorisa & Xduppy Mix),2025-03-21,True
INTOXYCATED,Oxlade,3WTrdbZU99dgTtt3ZkyamT,1lcSY9kXL2PG8HYuDlV4KW,57,212026,3.53,Last 6 months,OFA (Oxlade From Africa),2024-09-20,False
Fall In Love (feat. Ayo Jay),melvitto,4Xj0nxVO4r7PLEaw7LRiBa,4GdnJEbOxXMJMSzdkql8X3,54,205238,3.42,Last 6 months,Fall In Love (feat. Ayo Jay),2024-12-13,True
Moving,Omah Lay,5yOvAmpIR7hVxiS6Ls5DPO,2YNLzBRGyCAzHEGPO3J2Sb,60,140367,2.34,Last 6 months,Moving,2024-08-22,False
Ya Know,Mat.Joe,38jpuy3yt3QIxQ8Fn1HTeJ,5EYlU3M7d53aDLzxJCIUqu,36,332903,5.55,Last 6 months,Ya Know,2019-05-24,False
Love X Love,George Benson,4N8BwYTEC6XqykGvXXlmfv,1Gnufs5iuI3h5ow29J7tOO,57,286960,4.78,Last 6 months,Give Me the Night,1980-07-16,False
Lord Knows,Drake,3TVXtAsR1Inumwj472S9r4,1QBwk6GTCxVdC2hoSw9tlM,66,307640,5.13,Last 6 months,Take Care (Deluxe),2011-11-15,True
Body Talk,Just Kiddin,4bazJLWIv8CuqmgxJRiGqo,1iiuYKdJrhOWt2LwSTyiVx,34,196023,3.27,Last 6 months,Body Talk,2018-06-08,False
CHAMPIONSHIP,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu,1zy6cQbld0jBZWR6HNS0Et,51,115572,1.93,Last 6 months,AIN'T NO DAMN WAY!,2025-08-15,False
D O D O - Adekunle Gold Version,Tayc,7gU9VyFRN3JWPJ5oHOil60,5XYFwMy9hJ45a6NoavtyEa,41,179884,3.0,Last 6 months,Fleur froide - Second état : la cristallisation,2021-11-19,False
Antidote (feat. Adekunle Gold),Nao,7aFTOGFDEqDtJUCziLVsVC,7IehzBxyvb9egSpZFXZwTe,49,202626,3.38,Last 6 months,And Then Life Was Beautiful,2021-09-24,False
Love Don't Cost A Dime - Re-Up,Ayra Starr,3ZpEKRjHaHANcpk10u6Ntq,7mOQnTNnEGVAjI0OF49GMj,63,147600,2.46,Last 6 months,Love Don't Cost A Dime (Re-Up),2022-02-09,False
True,Clementine Douglas,4DWuml4Jf6K81b5rAPwMb6,21SUW6VqiPSwSumXMPYQtz,47,236225,3.94,Last 6 months,True,2024-10-25,False
Tell Me,Bobby V.,4HgF4KnohByNElYid7iCNb,6kLZ1DzSxBkNVvdQm6CX0N,63,260066,4.33,Last 6 months,Disturbing Tha Peace Presents Bobby Valentino,2005-01-01,False
Hate It Or Love It,Moojo,4bU2sBWgXJtViut3q68o5m,7CTBE7KWgRWRxrjNVf8Iom,50,378000,6.3,Last 6 months,Hate It Or Love It,2023-10-27,False
If,Davido,0Y3agQaa6g2r0YmHPOO9rh,0WeN52xa8nBDBfKsaiKJ0i,55,237714,3.96,Last 6 months,A Good Time,2019-11-22,False
Put That Woman First,Jaheim,4sbB4Yy6Qig51pKCIKSLw3,3OQu3z3okKVmWxSXTTHak5,60,245773,4.1,Last 6 months,Still Ghetto,2002-11-05,True
So Into You,Tamia,0le01dl1WllSHhjEXRl4in,3c6afiysmB7OnxQzzSqRfD,71,261866,4.36,Last 6 months,Tamia,1998,False
TARGET JOINT,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu,2g3S9jyG9dAchzKCCvOXLw,56,142246,2.37,Last 6 months,AIN'T NO DAMN WAY!,2025-08-15,False
Abonondaba (feat. Aymos),GL_Ceejay,3KC80ll13daYYiCUGEoXSh,3Ypxi45ekUxsIcnRTA2uUM,54,398675,6.64,Last 6 months,Abonondaba (feat. Aymos),2025-08-29,False
A Night to Remember,Shalamar,3REpOYo13YkVj1dFzda12A,6ijUrN0KfM67pwSa8NAdr5,45,299360,4.99,Last 6 months,The 12 Inch Collection,1989-01-01,False
reason,Omah Lay,5yOvAmpIR7hVxiS6Ls5DPO,0ectw8g5yRkC7GNsh6gP4h,64,147363,2.46,Last 6 months,Boy Alone (Deluxe),2023-06-15,False
Bootman,Ross from Friends,1Ma3pJzPIrAyYPNRkp3SUF,3mNXKbWX8ZAL8AW97dnoLq,37,365968,6.1,All time,You'll Understand,2017-02-10,False
You're Not My Kind Of Girl,New Edition,1mFX1QlezK1lNPKQJkhwWb,202QpSJo7inyEKWeARd5Ax,48,241693,4.03,All time,Heart Break,1988-01-01,False
VIBES DON'T LIE,Leon Thomas,0nnBZ8FXWjG9wZgM2cpfeb,1WwrfoGe0K33z1tVI6mevJ,68,201567,3.36,All time,MUTT,2024-09-27,True
Put That Woman First,Jaheim,4sbB4Yy6Qig51pKCIKSLw3,3OQu3z3okKVmWxSXTTHak5,60,245773,4.1,All time,Still Ghetto,2002-11-05,True
Only for You,Just Kiddin,4bazJLWIv8CuqmgxJRiGqo,1H4qWZy8aBW90r8SWgCTKE,20,343000,5.72,All time,Only for You,2016-01-22,False
Piece of Me - Extended Mix,MK,1yqxFtPHKcGcv6SXZNdyT9,7gsiyz9QRfEIPmTx4ePArm,33,380720,6.35,All time,Piece of Me (Remixes),2016-07-08,False
Adieu,Tchami,1KpCi9BOfviCVhmpI4G2sY,53Us5C3wTQ2zi6ODWhmHMN,55,413333,6.89,All time,Adieu,2017-02-03,False
RMF,Oxlade,3WTrdbZU99dgTtt3ZkyamT,4HRjfapwFUga07NJr0Q4l6,32,178493,2.97,All time,OFA (Oxlade From Africa),2024-09-20,True
Battened Ships,Odyssey,09ZLqyCta4eVplqQrSJKBx,2rlFfOZymcHs9GqJrrVLni,33,180213,3.0,All time,Odyssey,1972-09-28,False
You Broke My Heart,Drake,3TVXtAsR1Inumwj472S9r4,5Se32hEA9raeboZerywxka,75,230709,3.85,All time,For All The Dogs Scary Hours Edition,2023-11-17,True
Something Special (Into You),Fastlane,2Rs8xjDSwhs710wyceyily,1u8IiioOpAFVlEFGfR9fgM,37,210731,3.51,All time,Something Special (Into You),2015-07-24,False
Mind Over Matter (Reprise),Young the Giant,4j56EQDQu5XnL7R3E9iFJT,77KnJc8o5G1eKVwX5ywMeZ,74,230866,3.85,All time,Mirrorball / Mind Over Matter (Reprise),2015-04-18,False
Sohlala Sisonke,Dlala Thukzin,5kmceQl1Y7lveTVbcy5ycD,7hO6BIPeHb0Y5v9bgXoxKg,62,327457,5.46,All time,Finally Famous Too,2024-09-27,False
SPACE INVADER,KAYTRANADA,6qgnBH6iDM91ipVXv28OMu,5EsKjjNxjKeDjlxqdSs4X4,59,274302,4.57,All time,AIN'T NO DAMN WAY!,2025-08-15,False
Hate It Or Love It,Moojo,4bU2sBWgXJtViut3q68o5m,7CTBE7KWgRWRxrjNVf8Iom,50,378000,6.3,All time,Hate It Or Love It,2023-10-27,False
Are You Ready,Soulfreakah,33LgECnJ6qzEvBzzp4TNAn,26h3nNRJaInNJOYsY2Urnv,9,304909,5.08,All time,Zebulon,2021-06-28,False
Love Don't Cost A Dime (Re-Up),Magixx,0rskhjcLm5BxjwZDRs4142,0hW02S9ACVYANz1ica10jH,57,147600,2.46,All time,Love Don't Cost A Dime (Re-Up),2022-02-09,False
